cycle,episode_id,failure_mode,group_name,ttf_seconds,mttf_seconds,survival_probability,hazard_rate,event,data_source,beta,eta,recorded_at
118,ep_00132_DEPENDENCY_TIMEOUT,DEPENDENCY_TIMEOUT,Immediate trigger,0.1,9299.17,77.3688,0.518205,1,auto_arima_forecast,0.20196118156100862,84.16775886753939,2026-08-05T03:24:47.724419+00:00
119,ep_00133_LATENCY_SPIKE,LATENCY_SPIKE,Immediate trigger,238.0,9299.17,29.1245,0.001047,0,right_censored_beyond_window,0.20196118156100862,84.16775886753939,2026-08-05T03:24:47.724550+00:00
120,ep_00134_MEMORY_LEAK,MEMORY_LEAK,Immediate trigger,238.0,9299.17,29.1245,0.001047,0,right_censored_beyond_window,0.20196118156100862,84.16775886753939,2026-08-05T03:24:47.724808+00:00
121,ep_00135_LATENCY_SPIKE,LATENCY_SPIKE,Immediate trigger,238.0,9299.17,29.1245,0.001047,0,right_censored,0.20196118156100862,84.16775886753939,2026-08-05T03:24:47.724948+00:00
122,ep_00136_RETRY_STORM,RETRY_STORM,Immediate trigger,0.1,9299.17,77.3688,0.518205,1,auto_arima_forecast,0.20196118156100862,84.16775886753939,2026-08-05T03:24:47.725078+00:00
123,ep_00137_LATENCY_SPIKE,LATENCY_SPIKE,Immediate trigger,238.0,9299.17,29.1245,0.001047,0,right_censored,0.20196118156100862,84.16775886753939,2026-08-05T03:24:47.725206+00:00
124,ep_00138_CPU_SATURATION,CPU_SATURATION,Immediate trigger,62.34,9299.17,39.0171,0.003049,1,auto_arima_forecast,0.20196118156100862,84.16775886753939,2026-08-05T03:24:47.725334+00:00
125,ep_00140_BAD_DEPLOY,BAD_DEPLOY,Immediate trigger,50.51,9299.17,40.5753,0.003607,1,auto_arima_forecast,0.20196118156100862,84.16775886753939,2026-08-05T03:24:47.725463+00:00
126,ep_00141_CASCADING_FAILURE,CASCADING_FAILURE,Immediate trigger,0.1,9299.17,77.3688,0.518205,1,auto_arima_forecast,0.20196118156100862,84.16775886753939,2026-08-05T03:24:47.725592+00:00
127,ep_00142_CPU_SATURATION,CPU_SATURATION,Immediate trigger,238.0,9299.17,29.1245,0.001047,0,right_censored,0.20196118156100862,84.16775886753939,2026-08-05T03:24:47.725736+00:00
128,ep_00143_CPU_SATURATION,CPU_SATURATION,Immediate trigger,0.1,9299.17,77.3688,0.518205,1,auto_arima_forecast,0.20196118156100862,84.16775886753939,2026-08-05T03:24:47.725901+00:00
